Name;DepartmentId
Puerto Gaitán;1144
Puerto López;1144
Puerto Lleras;1144
Puerto Rico;1144
Restrepo;1144
San Carlos De Guaroa;1144
San Juan De Arama;1144
San Juanito;1144
San Martín;1144
Vistahermosa;1144
Pasto;1145
Albán;1145
Aldana;1145
Ancuya;1145
Arboleda;1145
Barbacoas;1145
Belén;1145
Buesaco;1145
Colón;1145
Consacá;1145
Contadero;1145
Córdoba;1145
Cuaspud Carlosama;1145
Cumbal;1145
Cumbitara;1145
Chachagüí;1145
El Charco;1145
El Peñol;1145
El Rosario;1145
El Tablón De Gómez;1145
El Tambo;1145
Funes;1145
Guachucal;1145
Guaitarilla;1145
Gualmatán;1145
Iles;1145
Imués;1145
Ipiales;1145
La Cruz;1145
La Florida;1145
La Llanada;1145
La Tola;1145
La Unión;1145
Leiva;1145
Linares;1145
Los Andes;1145
Magüí;1145
Mallama;1145
Mosquera;1145
Nariño;1145
Olaya Herrera;1145
Ospina;1145
Francisco Pizarro;1145
Policarpa;1145
Potosí;1145
Providencia;1145
Puerres;1145
Pupiales;1145
Ricaurte;1145
Roberto Payán;1145
Samaniego;1145
Sandoná;1145
San Bernardo;1145
San Lorenzo;1145
San Pablo;1145
San Pedro De Cartago;1145
Santa Bárbara;1145
Santacruz;1145
Sapuyes;1145
Taminango;1145
Tangua;1145
San Andrés De Tumaco;1145
Túquerres;1145
Yacuanquer;1145
San José De Cúcuta;1146
Ábrego;1146
Arboledas;1146
Bochalema;1146
Bucarasica;1146
Cácota;1146
Cáchira;1146
Chinácota;1146
Chitagá;1146
Convención;1146
Cucutilla;1146
Durania;1146
El Carmen;1146
El Tarra;1146
El Zulia;1146
Gramalote;1146
Hacarí;1146
Herrán;1146
Labateca;1146
La Esperanza;1146
La Playa;1146
Los Patios;1146
Lourdes;1146
Mutiscua;1146
Ocaña;1146
Pamplona;1146
Pamplonita;1146
Puerto Santander;1146
Ragonvalia;1146
Salazar;1146
San Calixto;1146
San Cayetano;1146
Santiago;1146
Sardinata;1146
Silos;1146
Teorama;1146
Tibú;1146
Toledo;1146
Villa Caro;1146
Villa Del Rosario;1146
Armenia;1148
Buenavista;1148
Calarcá;1148
Circasia;1148
Córdoba;1148
Filandia;1148
Génova;1148
La Tebaida;1148
Montenegro;1148
Pijao;1148
Quimbaya;1148
Salento;1148
Pereira;1149
Apía;1149
Balboa;1149
Belén De Umbría;1149
Dosquebradas;1149
Guática;1149
La Celia;1149
La Virginia;1149
Marsella;1149
Mistrató;1149
Pueblo Rico;1149
Quinchía;1149
Santa Rosa De Cabal;1149
Santuario;1149
Bucaramanga;1150
Aguada;1150
Albania;1150
Aratoca;1150
Barbosa;1150
Barichara;1150
Barrancabermeja;1150
Betulia;1150
Bolívar;1150
Cabrera;1150
California;1150
Capitanejo;1150
Carcasí;1150
Cepitá;1150
Cerrito;1150
Charalá;1150
Charta;1150
Chima;1150
Chipatá;1150
Cimitarra;1150
Concepción;1150
Confines;1150
Contratación;1150
Coromoro;1150
Curití;1150
El Carmen De Chucurí;1150
El Guacamayo;1150
El Peñón;1150
El Playón;1150
Encino;1150
Enciso;1150
Florián;1150
Floridablanca;1150
Galán;1150
Gámbita;1150
Girón;1150
Guaca;1150
Guadalupe;1150
Guapotá;1150
Guavatá;1150
Güepsa;1150
Hato;1150
Jesús María;1150
Jordán;1150
La Belleza;1150
Landázuri;1150
La Paz;1150
Lebrija;1150
Los Santos;1150
Macaravita;1150
Málaga;1150
Matanza;1150
Mogotes;1150
Molagavita;1150
Ocamonte;1150
Oiba;1150
Onzaga;1150
Palmar;1150
Palmas Del Socorro;1150
Páramo;1150
Piedecuesta;1150
Pinchote;1150
Puente Nacional;1150
Puerto Parra;1150
Puerto Wilches;1150
Rionegro;1150
Sabana De Torres;1150
San Andrés;1150
San Benito;1150
San Gil;1150
San Joaquín;1150
San José De Miranda;1150
San Miguel;1150
San Vicente De Chucurí;1150
Santa Bárbara;1150
Santa Helena Del Opón;1150
Simacota;1150
Socorro;1150
Suaita;1150
Sucre;1150
Suratá;1150
Tona;1150
Valle De San José;1150
Vélez;1150
Vetas;1150
Villanueva;1150
Zapatoca;1150
Sincelejo;1151
Buenavista;1151
Caimito;1151
Colosó;1151
Corozal;1151
Coveñas;1151
Chalán;1151
El Roble;1151
Galeras;1151
Guaranda;1151
La Unión;1151
Los Palmitos;1151
Majagual;1151
Morroa;1151
Ovejas;1151
Palmito;1151
Sampués;1151
San Benito Abad;1151
San Juan De Betulia;1151
San Marcos;1151
San Onofre;1151
San Pedro;1151
San Luis De Sincé;1151
